id,2000-01-04,000001.SH,399005.SZ,399102.SZ
2722,2011-04-14,3042.635,6465.454,1000.137
2723,2011-04-15,3050.526,6433.799,993.065
2724,2011-04-18,3057.329,6428.156,989.142
2725,2011-04-19,2999.041,6372.791,980.244
2726,2011-04-20,3007.037,6398.553,990.889
2727,2011-04-21,3026.668,6428.615,993.72
2728,2011-04-22,3010.517,6371.274,988.263
2729,2011-04-25,2964.951,6262.98,961.552
2730,2011-04-26,2938.981,6199.073,943.696
2731,2011-04-27,2925.408,6140.703,928.127
2732,2011-04-28,2887.044,5982.907,894.127
2733,2011-04-29,2911.511,6050.054,902.11
2734,2011-05-03,2932.188,6120.37,911.777
2735,2011-05-04,2866.017,5980.877,893.963
2736,2011-05-05,2872.404,6006.907,903.759
2737,2011-05-06,2863.886,6054.764,908.153
2738,2011-05-09,2872.46,6090.267,918.878
2739,2011-05-10,2890.634,6102.744,919.801
2740,2011-05-11,2883.42,6087.311,919.965
2741,2011-05-12,2844.083,5993.025,900.904
2742,2011-05-13,2871.031,6016.499,902.114
2743,2011-05-16,2849.067,6012.85,900.081
2744,2011-05-17,2852.773,6012.216,891.096
2745,2011-05-18,2872.771,6044.119,887.796
2746,2011-05-19,2859.574,6033.739,881.499
2747,2011-05-20,2858.459,6019.849,872.299
2748,2011-05-23,2774.569,5830.135,838.474
2749,2011-05-24,2767.056,5803.425,864.871
2750,2011-05-25,2741.741,5707.334,837.145
2751,2011-05-26,2736.527,5645.018,824.511
2752,2011-05-27,2709.947,5532.423,816.171
2753,2011-05-30,2706.361,5488.385,824.768
2754,2011-05-31,2743.472,5580.799,837.115
2755,2011-06-01,2743.572,5638.12,842.975
2756,2011-06-02,2705.181,5560.029,827.141
2757,2011-06-03,2728.02,5651.449,841.271
2758,2011-06-07,2744.3,5711.265,842.466
2759,2011-06-08,2750.288,5716.161,840.08
2760,2011-06-09,2703.345,5604.776,823.757
2761,2011-06-10,2705.143,5604.16,820.712
2762,2011-06-13,2700.379,5588.077,826.032
2763,2011-06-14,2730.04,5658.383,834.752
2764,2011-06-15,2705.431,5597.467,824.759
2765,2011-06-16,2664.283,5486.554,808.683
2766,2011-06-17,2642.818,5439.377,800.565
2767,2011-06-20,2621.253,5357.125,791.076
2768,2011-06-21,2646.483,5423.392,796.163
2769,2011-06-22,2649.321,5431.758,792.084
2770,2011-06-23,2688.249,5544.866,815.209
2771,2011-06-24,2746.211,5678.887,832.829
2772,2011-06-27,2758.23,5750.858,844.132
2773,2011-06-28,2759.202,5772.462,844.826
2774,2011-06-29,2728.483,5720.075,835.534
2775,2011-06-30,2762.076,5816.118,844.73
2776,2011-07-01,2759.362,5838.916,852.924
2777,2011-07-04,2812.818,5967.868,873.354
2778,2011-07-05,2816.355,5993.281,880.325
2779,2011-07-06,2810.479,6032.567,891
2780,2011-07-07,2794.267,6056.592,898.048
2781,2011-07-08,2797.774,6039.099,892.866
2782,2011-07-11,2802.692,6095.027,899.989
2783,2011-07-12,2754.582,6026.186,885.466
2784,2011-07-13,2795.476,6121.501,907.321
2785,2011-07-14,2810.444,6138.655,928.065
2786,2011-07-15,2820.169,6177.972,945.123
2787,2011-07-18,2816.688,6197.9,939.878
2788,2011-07-19,2796.983,6129.076,921.918
2789,2011-07-20,2794.205,6122.268,925.828
2790,2011-07-21,2765.894,6055.639,911.843
2791,2011-07-22,2770.79,6082.829,919.569
2792,2011-07-25,2688.746,5855.547,884.034
2793,2011-07-26,2703.026,5873.055,889.244
2794,2011-07-27,2723.492,5965.623,912.762
2795,2011-07-28,2708.777,5948.311,917.485
2796,2011-07-29,2701.729,5878.679,909.631
2797,2011-08-01,2703.783,5880.733,924.566
2798,2011-08-02,2679.259,5852.119,930.23
2799,2011-08-03,2678.485,5888.841,942.516
2800,2011-08-04,2684.039,5920.944,934.532
2801,2011-08-05,2626.423,5837.373,916.044
2802,2011-08-08,2526.816,5628.935,873.923
2803,2011-08-09,2526.07,5634.215,873.885
2804,2011-08-10,2549.176,5714.766,887.134
2805,2011-08-11,2581.508,5810.715,910.23
2806,2011-08-12,2593.173,5858.935,920.408
2807,2011-08-15,2626.77,5920.428,937.027
2808,2011-08-16,2608.166,5875.985,929.246
2809,2011-08-17,2601.261,5838.813,933.259
2810,2011-08-18,2559.472,5720.181,913.338
2811,2011-08-19,2534.358,5689.686,910.711
2812,2011-08-22,2515.863,5617.224,912.621
2813,2011-08-23,2554.019,5687.858,941.008
2814,2011-08-24,2541.091,5696.192,944.819
2815,2011-08-25,2615.261,5800.122,946.698
2816,2011-08-26,2612.188,5803.496,958.934
2817,2011-08-29,2576.413,5759.707,958.835
2818,2011-08-30,2566.595,5710.709,936.712
2819,2011-08-31,2567.34,5675.07,925.068
2820,2011-09-01,2556.042,5640.465,920.986
2821,2011-09-02,2528.28,5585.156,913.547
2822,2011-09-05,2478.739,5477.708,889.875
2823,2011-09-06,2470.524,5405.071,877.321
2824,2011-09-07,2516.09,5514.407,901.764
2825,2011-09-08,2498.943,5489.873,891.308
2826,2011-09-09,2497.753,5441.758,880.92
2827,2011-09-13,2471.305,5352.668,862.252
2828,2011-09-14,2484.827,5396.228,877.16
2829,2011-09-15,2479.055,5415.621,876.681
2830,2011-09-16,2482.343,5409.368,873.748
2831,2011-09-19,2437.795,5296.338,851.085
2832,2011-09-20,2447.755,5296.356,853.952
2833,2011-09-21,2512.963,5446.682,879.296
2834,2011-09-22,2443.057,5298.777,849.994
2835,2011-09-23,2433.159,5254.569,842.032
2836,2011-09-26,2393.183,5159.55,828.702
2837,2011-09-27,2415.054,5179.294,831.017
2838,2011-09-28,2392.062,5109.432,817.388
2839,2011-09-29,2365.343,4996.646,792.857
2840,2011-09-30,2359.22,4990.432,791.769
2841,2011-10-10,2344.787,4951.193,790.128
2842,2011-10-11,2348.516,4923.479,786.438
2843,2011-10-12,2420,5094.111,816.341
2844,2011-10-13,2438.79,5154.53,832.605
2845,2011-10-14,2431.375,5125.458,830.475
2846,2011-10-17,2440.402,5158.322,835.818
2847,2011-10-18,2383.485,5029.77,809.293
2848,2011-10-19,2377.512,4986.51,805.561
2849,2011-10-20,2331.366,4845.755,780.241
2850,2011-10-21,2317.275,4761.563,761.503
2851,2011-10-24,2370.333,4853.11,771.25
2852,2011-10-25,2409.672,4991.303,795.923
2853,2011-10-26,2427.48,5030.458,808.44
2854,2011-10-27,2435.614,5034.189,807.972
2855,2011-10-28,2473.41,5139.685,829.8
2856,2011-10-31,2468.25,5146.801,847.595
2857,2011-11-01,2470.019,5149.205,849.472
2858,2011-11-02,2504.108,5256.964,877.083
2859,2011-11-03,2508.09,5285.488,873.711
2860,2011-11-04,2528.294,5320.974,878.768
2861,2011-11-07,2509.799,5282.794,877.529
2862,2011-11-08,2503.836,5219.775,861.617
2863,2011-11-09,2524.919,5307.471,888.324
2864,2011-11-10,2479.536,5247.655,893.04
2865,2011-11-11,2481.084,5234.944,891.022
2866,2011-11-14,2528.714,5359.535,917.365
2867,2011-11-15,2529.761,5379.334,921.552
2868,2011-11-16,2466.959,5229.32,893.96
2869,2011-11-17,2463.046,5231.154,903.409
2870,2011-11-18,2416.562,5086.41,875.313
2871,2011-11-21,2415.13,5091.117,866.274
2872,2011-11-22,2412.625,5072.148,869.744
